subject,accuracy,kappa,macro_f1,best_epoch
A01,0.6215277777777778,0.49537037037037035,0.6136854368463547,194
A02,0.3020833333333333,0.06944444444444442,0.2799680302792451,107
A03,0.5381944444444444,0.3842592592592593,0.5000220692090396,198
A04,0.3819444444444444,0.17592592592592593,0.36168426957900646,198
A05,0.2604166666666667,0.01388888888888884,0.13402797602055383,186
A06,0.2916666666666667,0.05555555555555558,0.21484651498736007,184
A07,0.3055555555555556,0.07407407407407407,0.283897784824008,198
A08,0.6458333333333334,0.5277777777777778,0.6387728806042361,199
A09,0.5798611111111112,0.43981481481481477,0.5582593476295463,200
